schedule_id,duty_id,driver_id,driver_display_name,operator_not_assigned,duty_start,duty_end,sequence,event_type,event_label,event_scope,line_code,direction,start_time,end_time,duration_minutes,trip_id,trip_ids,trip_count,origin_id,destination_id,vehicle_id,from_vehicle_id,to_vehicle_id,sequence_in_duty,sequence_in_bundle,mandatory_rest_required,has_valid_mandatory_rest,issue_severity,issue_codes,issue_explanation,explanation
448,2,2,Operador não atribuído (D2),True,04:20,13:32,9,commercial_trip,Viagem,trip,1042,IDA,06:26,06:41,15,5463,5463,1,1,2,3,,,5,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,9,commercial_trip,Viagem,trip,1042,VOLTA,06:41,06:53,12,5468,5468,1,2,1,3,,,6,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,10,normal_break,Intervalo normal,driver,,,06:53,07:10,17,,,0,1,1,,3,3,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,2,2,Operador não atribuído (D2),True,04:20,13:32,11,commercial_trip,Viagem,trip,1042,IDA,07:10,07:26,16,5482,5482,1,1,2,3,,,7,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,11,commercial_trip,Viagem,trip,1042,VOLTA,07:26,07:39,13,5487,5487,1,2,1,3,,,8,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,12,driver_vehicle_change,Troca de veículo,driver,,,07:39,07:39,0,,,0,1,1,,3,2,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,13,driver_vehicle_change,Troca de veículo,driver,,,07:39,07:39,0,,,0,1,1,,3,2,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,14,normal_break,Intervalo normal,driver,,,07:39,08:00,21,,,0,1,1,,3,2,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,2,2,Operador não atribuído (D2),True,04:20,13:32,15,commercial_trip,Viagem,trip,1067,IDA,08:00,08:44,44,5507,5507,1,1,2,2,,,9,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,15,commercial_trip,Viagem,trip,1067,VOLTA,08:44,09:11,27,5516,5516,1,2,1,2,,,10,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,16,driver_vehicle_change,Troca de veículo,driver,,,09:11,09:11,0,,,0,1,1,,2,6,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,17,driver_vehicle_change,Troca de veículo,driver,,,09:11,09:11,0,,,0,1,1,,2,6,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,18,normal_break,Intervalo normal,driver,,,09:11,09:35,24,,,0,1,1,,2,6,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,2,2,Operador não atribuído (D2),True,04:20,13:32,19,commercial_trip,Viagem,trip,1048,IDA,09:35,09:47,12,5525,5525,1,1,2,6,,,11,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,19,commercial_trip,Viagem,trip,1048,VOLTA,09:47,09:55,8,5527,5527,1,2,1,6,,,12,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
