schedule_id,block_id,duty_id,driver_id,driver_display_name,operator_not_assigned,vehicle_id,from_vehicle_id,to_vehicle_id,sequence,event_type,event_label,event_scope,duty_start,duty_end,start_time,end_time,duration_minutes,origin_id,destination_id,trip_ids,trip_count,is_work_time,is_driving_time,is_idle_time,is_normal_break,is_mandatory_rest,is_pullout,is_pullback,rest_valid,mandatory_rest_required,has_valid_mandatory_rest,rule_code,violation_code,issue_severity,issue_codes,issue_explanation,explanation
448,3,2,2,Operador não atribuído (D2),True,,3,3,10,normal_break,Intervalo normal,driver,04:20,13:32,06:53,07:10,17,1,1,,0,False,False,False,True,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,3,2,2,Operador não atribuído (D2),True,3,,,11,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:20,13:32,07:10,07:39,29,1,1,5482;5487,2,True,True,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,3,2,2,Operador não atribuído (D2),True,,3,2,12,driver_vehicle_change,Troca de veículo,driver,04:20,13:32,07:39,07:39,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,3,2,2,Operador não atribuído (D2),True,,3,2,13,driver_vehicle_change,Troca de veículo,driver,04:20,13:32,07:39,07:39,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,3,2,2,Operador não atribuído (D2),True,,3,2,14,normal_break,Intervalo normal,driver,04:20,13:32,07:39,08:00,21,1,1,,0,False,False,False,True,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,2,2,2,Operador não atribuído (D2),True,2,,,15,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:20,13:32,08:00,09:11,71,1,1,5507;5516,2,True,True,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,2,Operador não atribuído (D2),True,,2,6,16,driver_vehicle_change,Troca de veículo,driver,04:20,13:32,09:11,09:11,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,2,Operador não atribuído (D2),True,,2,6,17,driver_vehicle_change,Troca de veículo,driver,04:20,13:32,09:11,09:11,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,2,Operador não atribuído (D2),True,,2,6,18,normal_break,Intervalo normal,driver,04:20,13:32,09:11,09:35,24,1,1,,0,False,False,False,True,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,6,2,2,Operador não atribuído (D2),True,6,,,19,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:20,13:32,09:35,09:55,20,1,1,5525;5527,2,True,True,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,6,2,2,Operador não atribuído (D2),True,,6,1,20,driver_vehicle_change,Troca de veículo,driver,04:20,13:32,09:55,09:55,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,6,2,2,Operador não atribuído (D2),True,,6,1,21,driver_vehicle_change,Troca de veículo,driver,04:20,13:32,09:55,09:55,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,6,2,2,Operador não atribuído (D2),True,,6,1,22,normal_break,Intervalo normal,driver,04:20,13:32,09:55,10:47,52,1,1,,0,False,False,False,True,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,1,2,2,Operador não atribuído (D2),True,1,,,23,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:20,13:32,10:47,11:10,23,1,1,5544;5547,2,True,True,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,1,2,2,Operador não atribuído (D2),True,,1,7,24,driver_vehicle_change,Troca de veículo,driver,04:20,13:32,11:10,11:10,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,1,2,2,Operador não atribuído (D2),True,,1,7,25,driver_vehicle_change,Troca de veículo,driver,04:20,13:32,11:10,11:10,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,1,2,2,Operador não atribuído (D2),True,,1,7,26,mandatory_rest,Descanso obrigatório,driver,04:20,13:32,11:10,11:45,35,1,1,,0,False,False,False,False,True,False,False,True,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,7,2,2,Operador não atribuído (D2),True,7,,,27,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:20,13:32,11:45,12:50,65,1,1,5565;5572,2,True,True,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,7,2,2,Operador não atribuído (D2),True,,7,3,28,driver_vehicle_change,Troca de veículo,driver,04:20,13:32,12:50,12:50,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,7,2,2,Operador não atribuído (D2),True,,7,3,29,driver_vehicle_change,Troca de veículo,driver,04:20,13:32,12:50,12:50,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,7,2,2,Operador não atribuído (D2),True,,7,3,30,normal_break,Intervalo normal,driver,04:20,13:32,12:50,13:11,21,1,1,,0,False,False,False,True,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,3,2,2,Operador não atribuído (D2),True,3,,,31,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:20,13:32,13:11,13:32,21,1,1,5580;5582,2,True,True,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,,2,2,Operador não atribuído (D2),True,,,,32,duty_end,Fim de jornada,driver,04:20,13:32,13:32,13:32,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,,3,3,Operador não atribuído (D3),True,,,,1,duty_start,Início de jornada,driver,04:25,07:29,04:25,04:25,0,1,1,,0,False,False,False,False,False,False,False,False,False,False,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,,3,3,Operador não atribuído (D3),True,,,,2,pullout,Soltura,driver,04:25,07:29,04:25,04:35,10,1,1,,0,False,False,False,False,False,True,False,False,False,False,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,3,3,3,Operador não atribuído (D3),True,3,,,3,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:25,07:29,04:35,04:48,13,1,1,5427;5428,2,True,True,False,False,False,False,False,False,False,False,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,3,3,3,Operador não atribuído (D3),True,,3,3,4,normal_break,Intervalo normal,driver,04:25,07:29,04:48,05:00,12,1,1,,0,False,False,False,True,False,False,False,False,False,False,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,3,3,3,Operador não atribuído (D3),True,3,,,5,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:25,07:29,05:00,05:26,26,1,1,5433;5436,2,True,True,False,False,False,False,False,False,False,False,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,3,3,3,Operador não atribuído (D3),True,,3,2,6,driver_vehicle_change,Troca de veículo,driver,04:25,07:29,05:26,05:26,0,1,1,,0,False,False,False,False,False,False,False,False,False,False,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,3,3,3,Operador não atribuído (D3),True,,3,2,7,driver_vehicle_change,Troca de veículo,driver,04:25,07:29,05:26,05:26,0,1,1,,0,False,False,False,False,False,False,False,False,False,False,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,3,3,3,Operador não atribuído (D3),True,,3,2,8,normal_break,Intervalo normal,driver,04:25,07:29,05:26,05:49,23,1,1,,0,False,False,False,True,False,False,False,False,False,False,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,2,3,3,Operador não atribuído (D3),True,2,,,9,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:25,07:29,05:49,06:08,19,1,1,5448;5449,2,True,True,False,False,False,False,False,False,False,False,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,3,3,Operador não atribuído (D3),True,,2,2,10,normal_break,Intervalo normal,driver,04:25,07:29,06:08,06:18,10,1,1,,0,False,False,False,True,False,False,False,False,False,False,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,2,3,3,Operador não atribuído (D3),True,2,,,11,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:25,07:29,06:18,06:45,27,1,1,5459;5465,2,True,True,False,False,False,False,False,False,False,False,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
