schedule_id,block_id,duty_id,driver_id,vehicle_id,sequence,event_type,event_label,start_time,end_time,duration_minutes,origin_id,destination_id,trip_ids,is_work_time,is_driving_time,is_idle_time,is_normal_break,is_mandatory_rest,is_pullout,is_pullback,rest_valid,rule_code,violation_code,explanation
428,12,99,,12,32,commercial_trip,Viagem,17:37,17:45,8,2,1,5646,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,5,100,,5,1,commercial_trip,Viagem,04:55,05:31,36,1,2,5438,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,5,100,,5,2,commercial_trip,Viagem,05:31,05:56,25,2,1,5445,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,5,100,,5,3,idle,Ociosa,05:56,06:15,19,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,4,100,,4,4,commercial_trip,Viagem,06:15,06:55,40,1,2,5469,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,4,100,,4,5,commercial_trip,Viagem,06:55,07:24,29,2,1,5481,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,4,100,,4,6,idle,Ociosa,07:24,07:39,15,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,13,100,,13,7,commercial_trip,Viagem,07:39,07:51,12,1,2,5493,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,13,100,,13,8,commercial_trip,Viagem,07:51,08:00,9,2,1,5495,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,13,100,,13,9,idle,Ociosa,08:00,08:15,15,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,12,100,,12,10,commercial_trip,Viagem,08:15,08:32,17,1,2,5504,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,12,100,,12,11,commercial_trip,Viagem,08:32,08:45,13,2,1,5509,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,12,100,,12,12,idle,Ociosa,08:45,09:11,26,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,12,100,,12,13,commercial_trip,Viagem,09:11,09:23,12,1,2,5518,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,12,100,,12,14,commercial_trip,Viagem,09:23,09:31,8,2,1,5521,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,12,100,,12,15,idle,Ociosa,09:31,09:59,28,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,11,100,,11,16,commercial_trip,Viagem,09:59,10:11,12,1,2,5532,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,11,100,,11,17,commercial_trip,Viagem,10:11,10:19,8,2,1,5533,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,11,100,,11,18,idle,Ociosa,10:19,10:35,16,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,12,100,,12,19,commercial_trip,Viagem,10:35,10:52,17,1,2,5543,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,12,100,,12,20,commercial_trip,Viagem,10:52,11:04,12,2,1,5545,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,12,100,,12,21,normal_break,Intervalo normal,11:04,16:45,341,1,1,,False,False,False,True,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,15,100,,15,22,commercial_trip,Viagem,16:45,17:38,53,1,2,5644,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,15,100,,15,23,commercial_trip,Viagem,17:38,18:09,31,2,1,5652,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,6,101,,6,1,commercial_trip,Viagem,05:00,05:14,14,1,2,5433,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,6,101,,6,2,commercial_trip,Viagem,05:14,05:26,12,2,1,5436,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,6,101,,6,3,idle,Ociosa,05:26,05:45,19,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
